r-1 0.00 0.00 0.00 0.00 0.00
r 2.00 2.00 2.00 2.00 2.00
r+1 3.75 3.75 3.75 3.75 3.75
r+2 5.52 6.30 6.30 6.30 6.30
r+3 6.87 8.86 9.51 9.51 9.51
r+4 6.69 9.76 11.89 12.19 12.19
r+5 2.97 5.81 9.68 11.83 11.83
r+6 0.00 0.98 5.79 10.18 10.28
r+7 0.00 0.00 1.98 8.30 9.44
r+8 0.00 0.00 0.00 5.57 8.55
r+9 0.00 0.00 0.00 1.96 7.21
r+10 0.00 0.00 0.00 0.00 5.09
r+11 0.00 0.00 0.00 0.00 1.90
r+12 0.00 0.00 0.00 0.00 0.00
